courseName, type
che122, core
che133, core
che134, core
lit1, ge(ah)
natsci2, ge(ssp)
che131, core
che132, core
ES12, core
ES26, core
philo1, ge(ssp)
psych10, ge(ssp)
chem28, service
chem28.1, service
math54, service
badminton, pe
physics72, service
physics72.1, service
socsci10, ge(ssp)
chem17, service
math53, service
cwts1, nstp
tabletennis, pe
physics71, service
physics71.1, service
socsci1, ge(ssp)
aquasci16, ge(mst)
che32, core
chem153, service
ES1, core
ES11, core
ES21, core
hum1, ge(ah)
chem16, service
comm1, ge(ah)
eng2, ge(ah)
hist1, ge(ssp)
math17, service
cwts2, nstp
pe1, service
che31, core
chem31, service
chem31.1, service
envisci10, ge(mst)
math55, service
baseball, pe
physics73, service
physics73.1, service
