courseName, type
aquasci16, ge(mst)
cmsc123, core
cmsc130, core
volleyball, pe
physics52, core
physics52.1, core
psych10, ge(ssp)
socsci5, ge(ssp)
aquasci1, ge(mst)
cmsc21, core
cmsc56, core
hist2, ge(ssp)
lit2, ge(ssp)
math100, core
lts1, nstp
football, pe
cmsc22, core
cmsc57, core
comm2, ge(ah)
hum1, ge(ah)
lit3, ge(ah)
socialrecreation, pe
physics51, core
physics51.1, core
cmsc127, core
cmsc128, core
cmsc131, core
cmsc141, core
mbb1, ge(mst)
stat105, core
bio1, ge(mst)
cmsc11, core
comm1, ge(ah)
math17, core
lts2, nstp
pe1, service
socsci2, ge(ssp)
