courseName, type
math17, core
cmsc11, core
socsci2, ge(ssp)
comm1, ge(ah)
bio1, ge(mst)
pe1, service
lts1, nstp
math100, core
cmsc21, core
cmsc56, core
philo1, ge(ssp)
hum1, ge(ah)
badminton, pe
aquasci1, ge(mst)
lts2, nstp
physics51, core
physics51.1, core
cmsc22, core
cmsc57, core
lit3, ge(ah)
comm2, ge(ah)
cmsc123, core
cmsc130, core
physics52, core
physics52.1, core
hist2, ge(ssp)
psych10, ge(ssp)
bio20, ge(mst)
basketballwomen, pe
cmsc127, core
cmsc128, core
cmsc131, core
cmsc141, core
stat105, core
socsci10, ge(ssp)
