courseName, type
philo1, ge(ssp)
comm1, ge(ah)
chem16, core
chem16, core
math17, service
math152, service
math152, service
pe1, service
cwts, nstp
lit1, ge(ah)
hist1, ge(ssp)
chem17, core
chem17, core
math53, service
math101, service
basketball, pe
cwts, nstp
socsci1, ge(ssp)
bio1, ge(mst)
math54, service
chem28, core
chem28, core
physics74, service
physics74, service
volleyball, pe
lit2, ge(ah)
socsci26, ge(ssp)
chem33, core
chem33.1, core
physics75, service
physics75, service
bio10, service
bio10, service
softball, pe
comm2, ge(ah)
physics76, service
physics76, service
chem34, core
chem34.1, core
chem116, core
chem116, core
