courseName, type
bio10, service
comm1, ge(ah)
ft11, core
hist1, ge(ssp)
math11, service
cwts1, nstp
pe1, service
socsci1, ge(ssp)
aquasci1, ge(mst)
chem17, service
comm2, ge(ah)
basketballwomen, pe
philo1, ge(ssp)
socsci2, ge(ssp)
math54, service
che173, core
che32, core
chem153, service
ES21, core
hum1, ge(ah)
natsci2, ge(mst)
chem16, service
comm3, ge(ah)
ft14, core
ft15, core
math14, service
cwts2, nstp
philippinefolkdance, pe
chem31, service
chem31.1, service
envisci10, ge(mst)
math53, service
internationalfolkdance, pe
physics71, service
physics71.1, service
che31, core
ES12, core
ES26, core
math55, service
physics73, service
physics73.1, service
chem26, service
chem26.1, service
ES1, core
ES11, core
physics72, service
physics72.1, service
psych10, ge(ssp)
