courseName, type
comm1, ge(ah)
philo1, ge(ssp)
socsci1, ge(ssp)
envisci1, ge(mst)
eng1, core
cms11, core
pe1, service
cwts, nstp
comm2, ge(ah)
socsci2, ge(ssp)
socsci26, ge(ssp)
bio1, ge(mst)
speech136, core
cms100, core
basketball, pe
cwts, nstp
comm3, ge(ah)
sts40, ge(mst)
cms11, cmselective
cms101, core
cms105, core
hiligaynon10, core
volleyball, pe
lit1, ge(ah)
aquasci16, ge(mst)
cms105, cmselective
cms102, core
cms103, core
filipino12, core
football, pe
cms104, core
cms107, core
cms112, cmselective
cms113, cmselective
cms115, cmselective
cms121, cmselective
cms110, core
cms196, core
cms197, core
cms122, cmselective
cms123, cmselective
cms125, cmselective
cms191, core
lit3, ge(ah)
cms198, core
cms131, cmselective
cms132, cmselective
pi100, service
