courseName, type
aquasci1, ge(mst)
cmsc11, core
comm1, ge(ah)
eng2, ge(ah)
math17, core
cwts1, nstp
pe1, service
bio20, ge(mst)
cmsc22, core
cmsc57, core
comm2, ge(ah)
badminton, pe
physics51, core
physics51.1, core
socsci2, ge(ssp)
cmsc195, core
cmsc137, core
cmsc142, core
cmsc151, elective
cmsc162, elective
cmsc198.1, core
cmsc192, core
psych10, ge(ssp)
stat105, core
cmsc127, core
cmsc128, core
cmsc131, core
cmsc141, core
envisci10, ge(mst)
cmsc124, core
cmsc125, core
cmsc126, core
cmsc129, core
cmsc132, core
eng10, service
cmsc123, core
cmsc130, core
hum1, ge(ah)
lit1, ge(ah)
tabletennis, pe
philo1, ge(ssp)
physics52, core
physics52.1, core
