courseName, type
math17, core
cmsc11, core
socsci10, ge(ssp)
comm1, ge(ah)
pe1, service
cwts1, nstp
math100, core
cmsc21, core
cmsc56, core
hist1, ge(ssp)
comm2, ge(ah)
aquasci1, ge(mst)
cwts2, nstp
basketballwomen, pe
physics51, core
physics51.1, core
cmsc22, core
cmsc57, core
lit1, ge(ah)
hum1, ge(ah)
badminton, pe
aquasci16, ge(mst)
cmsc123, core
cmsc130, core
physics52, core
physics52.1, core
hist2, ge(ssp)
socsci2, ge(ssp)
bio20, ge(mst)
tabletennis, pe
cmsc127, core
cmsc128, core
cmsc131, core
cmsc141, core
stat105, core
philo1, ge(ssp)
cmsc124, core
cmsc125, core
cmsc126, core
cmsc132, core
cmsc129, core
eng10, service
cmsc195, core
cmsc142, core
cmsc137, core
cmsc162, core
cmsc192, core
cmsc198.1, core
cmsc151, core
