courseName, type
comm1, ge(AH)
comm2, ge(AH)
hist1, ge(SSP)
hist2, ge(SSP)
bio1, ge(MST)
math11, service
pe1, service
cwts, nstp
lit1, ge(AH)
lit2, ge(AH)
psych10, ge(SSP)
socsci1, ge(SSP)
envisci10, ge(MST)
math14, service
basketball, pe
cwts, nstp
lit3, ge(AH)
socsci26, ge(SSP)
bio20, ge(MST)
math100, service
ba99.1, core
mgt101, core
badminton, pe
econ11, service
polsci14, service
math101, service
ba99.2, core
mgt104, core
mgt183, core
swimming, pe
mgt121, core
mgt161, core
mgt170, core
mgt181, core
mgt186, core
econ101, service
sts40, ge(MST)
mgt115, core
mgt162, core
mgt187, core
econ102, service
eng11, service
mgt196, core
mgt141, core
mgt197, core
mgt199, core
pi100, service
mgt102, elective
mgt148, elective
