courseName, type
aquasci1, ge(mst)
hist1, ge(ssp)
math53, core
cwts2, nstp
badminton, pe
socsci5, ge(ssp)
stat117, core
comm1, ge(ah)
eng2, ge(ah)
math17, core
cwts1, nstp
pe1, service
philo1, ge(ssp)
stat104, core
math178, core
stat130, core
stat141, core
stat145, core
stat149, core
stat174, core
comm2, ge(ah)
math153, core
math54, core
tabletennis, pe
socsci2, ge(ssp)
stat121, core
envisci10, ge(mst)
hist2, ge(ssp)
lit2, ge(ah)
math114, core
math55, core
socialrecreation, pe
stat122, core
bio1, ge(mst)
econ11, service
hum1, ge(ah)
math121, core
stat131, core
stat138, core
bio20, ge(mst)
stat129, core
stat132, core
stat140, core
stat197, core
