courseName, type
comm1, ge(ah)
eng2, ge(ah)
math17, core
cwts1, nstp
pe1, service
socsci10, ge(ssp)
stat104, core
aquasci16, ge(mst)
econ11, service
volleyball, pe
stat104, core
stat121, core
stat138, core
math114, core
math178, core
stat131, core
hist2, ge(ssp)
lit1, ge(ah)
math114, core
math54, core
sts40, ge(mst)
aquasci1, ge(mst)
comm2, ge(ah)
math53, core
cwts2, nstp
softball, pe
socsci5, ge(ssp)
stat117, core
lit2, ge(ah)
math55, core
natsci2, ge(mst)
stat122, core
stat197, core
math153, core
math54, core
tabletennis, pe
psych10, ge(ssp)
socsci2, ge(ssp)
stat121, core
