courseName, type
chem17, core
comm2, ge(ah)
math101, service
math53, service
cwts2, nstp
lawntennis, pe
socsci1, ge(ssp)
bio10, ge(mst)
chem28, core
chem33, core
chem33.1, core
lit2, ge(ah)
socialrecreation, pe
physics75, core
bio120, service
bio120.1, service
bio20, ge(mst)
lit3, ge(ah)
philo1, ge(ssp)
chem16, core
comm1, ge(ah)
math152, service
math17, service
cwts1, nstp
pe1, service
socsci26, ge(ssp)
chem181, core
chem182, core
chem200, core
pi100, service
socsci5, ge(ssp)
bio1, ge(mst)
chem28, core
chem28.1, core
hist1, ge(ssp)
hum1, ge(ah)
volleyball, pe
physics74, service
chem117, core
chem126, core
physics75, service
chem116, core
chem34, core
chem34.1, core
geo11, service
math54, service
chem115, core
chem145, core
chem145.1, core
chem189, core
chem190, core
physics76, service
