2016-2017,1,Hist 1,Iloilo City,Lec,HB 1,1,T F,4:00-5:30,3,35,"REDISON,F",ge(ssp)
2016-2017,2,Hist 1,Miagao,Lec,R205,1,M Th,1:00-2:30,3,39,"GERIAL,E",ge(ssp)
2016-2017,2,Hist 1,Iloilo City,Lec,GCEB34,2,T F,4:00-5:30,3,35,"SANSAIT,J",ge(ssp)
2016-2017,1,Hist 2,Miagao,Lec,AV 106,3,T F,1:00-2:30,3,36,"GERIAL,E",ge(ssp)
2016-2017,1,Hist 2,Miagao,Lec,R108,2,T F,11:30-1:00,3,35,"JOVER,E",ge(ssp)
2016-2017,1,Hist 2,Miagao,Lec,R107,1,M Th,7:00-8:30,3,37,"JOVER,E",ge(ssp)
2016-2017,1,Hist 2,Miagao,Lec,AV 106,4,M Th,1:00-2:30,3,35,"GERIAL,E",ge(ssp)
2016-2017,2,Hist 2,Miagao,Lec,R205,1,T F,11:30-1:00,3,35,"GERIAL,E",ge(ssp)
2016-2017,2,Hist 2,Miagao,Lec,AV 106,2,T F,10:00-11:30,3,35,"GONZALES,R",ge(ssp)
2016-2017,2,Hist 2,Miagao,Lec,R107,3,T F,11:30-1:00,3,35,"VELARDE,G",ge(ssp)
2016-2017,1,Philo 1,Miagao,Lec,AV 105,1,M Th,1:00-2:30,3,35,"PORRAS,A",ge(ssp)
2016-2017,1,Philo 1,Miagao,Lec,R107,3,T F,4:00-5:30,3,36,"PORRAS,A",ge(ssp)
2016-2017,1,Philo 1,Miagao,Lec,AV 106,2,M Th,11:30-1:00,3,36,"PORRAS,A",ge(ssp)
2016-2017,1,Philo 1,Miagao,Lec,AV 106,7,T F,8:30-10:00,3,36,"PORRAS,A",ge(ssp)
2016-2017,1,Philo 1,Miagao,Lec,AV 104,6,T F,4:00-5:30,3,38,"SANSAIT,J",ge(ssp)
2016-2017,1,Philo 1,Miagao,Lec,AV 104,4,M Th,8:30-10:00,3,36,"SANSAIT,J",ge(ssp)
2016-2017,1,Philo 1,Miagao,Lec,R205,5,M Th,10:00-11:30,3,36,"SANSAIT,J",ge(ssp)
2016-2017,2,Philo 1,Iloilo City,Lec,GCEB36,3,M Th,10:00-11:30,3,30,"PORRAS,A",ge(ssp)
2016-2017,2,Philo 1,Miagao,Lec,R108,1,M Th,7:00-8:30,3,38,"JOVER,E",ge(ssp)
2016-2017,2,Philo 1,Miagao,Lec,AV 104,4,T F,2:30-4:00,3,40,"JOVER,E",ge(ssp)
2016-2017,2,Philo 1,Miagao,Lec,R102,5,T F,11:30-1:00,3,38,"JOVER,E",ge(ssp)
2016-2017,2,Philo 1,Iloilo City,Lec,GCEB36,2,M Th,1:00-2:30,3,30,"PORRAS,A",ge(ssp)
2016-2017,1,Psych 10,Miagao,Lec,AV 106,4,M Th,10:00-11:30,3,35,"ALINGASA,A",ge(ssp)
2016-2017,1,Psych 10,Miagao,Lec,R205,3,T F,10:00-11:30,3,36,"ALINGASA,A",ge(ssp)
2016-2017,1,Psych 10,Iloilo City,Lec,GCEB35,1,M Th,8:30-10:00,3,35,"HUYONG,A",ge(ssp)
2016-2017,1,Psych 10,Iloilo City,Lec,GCEB35,2,M Th,10:00-11:30,3,35,"HUYONG,A",ge(ssp)
2016-2017,2,Psych 10,Iloilo City,Lec,GCEB36,6,T F,8:30-10:00,3,30,"HUYONG,A",ge(ssp)
2016-2017,2,Psych 10,Miagao,Lec,R204,1,M Th,11:30-1:00,3,35,"ALINGASA,A",ge(ssp)
2016-2017,2,Psych 10,Miagao,Lec,AVR,2,T F,10:00-11:30,3,35,"ALINGASA,A",ge(ssp)
2016-2017,2,Psych 10,Miagao,Lec,AV 104,4,M Th,2:30-4:00,3,35,"FERNANDEZ,H",ge(ssp)
2016-2017,2,Psych 10,Miagao,Lec,AV 105,5,T F,2:30-4:00,3,35,"FERNANDEZ,H",ge(ssp)
2016-2017,2,Psych 10,Miagao,Lec,R204,3,T F,1:00-2:30,3,35,"ALINGASA,A",ge(ssp)
2016-2017,1,Soc Sci 1,Iloilo City,Lec,GCEB36,1,T F,10:00-11:30,3,35,"HUYONG,A",ge(ssp)
2016-2017,2,Soc Sci 1,Iloilo City,Lec,GCEB34,1,T F,11:30-1:00,3,30,"MUYARGAS,M",ge(ssp)
2016-2017,2,Soc Sci 1,Miagao,Lec,AV 106,2,M Th,8:30-10:00,3,40,"ROBLES,A",ge(ssp)
2016-2017,2,Soc Sci 1,Miagao,Lec,AV 104,3,T F,1:00-2:30,3,35,"ROBLES,A",ge(ssp)
2016-2017,2,Soc Sci 1,TBA,TBA,TBA,99,TBA,TBA,3,50,TBA,ge(ssp)
2016-2017,1,Soc Sci 10,Miagao,Lec,R205,1,T F,1:00-2:30,3,39,"POTOTANON,R",ge(ssp)
2016-2017,2,Soc Sci 10,Miagao,Lec,AV 105,1,M Th,11:30-1:00,3,37,"POTOTANON,R",ge(ssp)
2016-2017,1,Soc Sci 2,Iloilo City,Lec,GCEB36,1,T F,1:00-2:30,3,35,"ESPIA,J",ge(ssp)
