ba174, Marketing Research, 3.0
ba176, Sales Management, 3.0
ba179, Law & Marketing, 3.0
cm102, Introduction to Cooperatives, 3.0
cm197, Special Topics in Cooperatives, 3.0
it102, Fundamentals of Programming, 3.0
it127, Database Management System, 3.0
it152, Management Information Systems, 3.0
it197, Special Topics in Information Technology, 3.0
mgt173, Marketing Management, 3.0
mgt192, Management of Small Business, 3.0
pm101, Philippine Administrive System, 3.0
pm113, Administrative Communication, 3.0
pm135, Public Fiscal Administration, 3.0
pm140, Program Administration, 3.0
pm141, Public Administration & Economic Order, 3.0
pm142, Politics & Administration, 3.0
pm146, Administrative Law, 3.0
pm151, Local Government and Administration, 3.0
pm171, Public Administration and Social Change, 3.0
