year, semester, courseName, type, units, lec/lab
1, 1, math11, service, 3, lec
1, 1, pe1, service, 2, lec
1, 1, , nstp, 3, lec
1, 1, , ge(ah), 3, lec
1, 1, , ge(mst), 3, lec
1, 1, , ge(ssp), 3, lec
1, 1, , ge(ssp), 3, lec
1, 1, , ge(ssp), 3, lec
1, 2, cd11, core, 3, lec
1, 2, polsci14, core, 3, lec
1, 2, econ11, core, 3, lec
1, 2, , pe, 2, lec
1, 2, , nstp, 3, lec
1, 2, , ge(ah), 3, lec
1, 2, , ge(mst), 3, lec
1, 2, , ge(ssp), 3, lec
2, 1, , ge(ah), 3, lec
2, 1, , ge(mst), 3, lec
2, 1, , ge(ssp), 3, lec
2, 1, , ge(ah), 3, lec
2, 1, cd101, core, 3, lec
2, 1, cd110, core, 3, lec
2, 1, , pe, 2, lec
2, 2, , ge(ah), 3, lec
2, 2, socsci101, core, 3, lec
2, 2, cd141, core, 3, lec
2, 2, cd122, core, 3, lec
2, 2, cd151, core, 3, lec
2, 2, , pe, 2, lec
2, 2, , majorelective, 3, lec
3, 1, cd127, core, 3, lec
3, 1, cd129, core, 3, lec
3, 1, cd166, core, 3, lec
3, 1, cd135, core, 3, lec
3, 1, , majorelective, 3, lec
3, 1, , majorelective, 3, lec
3, 1, , majorelective, 3, lec
3, 2, cd180, core, 3, lec
3, 2, cd147, core, 3, lec
3, 2, cd199.1, core, 3, lec
3, 2, cd168, core, 3, lec
3, 2, , ge(mst), 3, lec
3, midyear, cd181, core, 3, lec
4, 1, , majorelective, 3, lec
4, 1, , majorelective, 3, lec
4, 1, , majorelective, 3, lec
4, 1, , majorelective, 3, lec
4, 1, pi100, core, 3, lec
4, 2, cd199.2, core, 3, lec
4, 2, , ge(mst), 3, lec
4, 2, , majorelective, 3, lec
4, 2, , majorelective, 3, lec
4, 2, , majorelective, 3, lec
