year, semester, courseName, type, units, lec/lab
1, 1, , ge(ah), 3, lec
1, 1, , ge(ssp), 3, lec
1, 1, , ge(ssp), 3, lec
1, 1, eng1, core, 3, lec
1, 1, fil12, core, 3, lec
1, 1, pe1, service, 2, lec
1, 1, , nstp, 3, lec
1, 2, , ge(ah), 3, lec
1, 2, , ge(mst), 3, lec
1, 2, , ge(ssp), 3, lec
1, 2, , ge(mst), 3, lec
1, 2, math152, service, 3, lec
1, 2, math152, service, , lab
1, 2, cl101, core, 3, lec
1, 2, , pe, 2, lec
1, 2, , nstp, 3, lec
2, 1, , ge(ah), 3, lec
2, 1, , ge(ah), 3, lec
2, 1, , ge(mst), 3, lec
2, 1, , ge(ssp), 3, lec
2, 1, , ge(mst), 3, lec
2, 1, lit121, core, 3, lec
2, 1, , pe, 2, lec
2, 2, , ge(ah), 3, lec
2, 2, , ge(ssp), 3, lec
2, 2, , majorelective, 3, lec
2, 2, lit130, core, 3, lec
2, 2, lit150, core, 3, lec
2, 2, lit105, core, 3, lec
2, 2, , pe, 2, lec
3, 1, lit131, core, 3, lec
3, 1, lit140, core, 3, lec
3, 1, lit151, core, 3, lec
3, 1, lit153, core, 3, lec
3, 1, , majorelective, 3, lec
3, 1, , majorelective, 3, lec
3, 2, cl192/cl193/cl194, core, 3, lec
3, 2, lit111/lit112, core, 3, lec
3, 2, lit160, core, 3, lec
3, 2, lit199, core, 3, lec
3, 2, , majorelective, 3, lec
3, 2, , majorelective, 3, lec
4, 1, lit161, core, 3, lec
4, 1, lit181/lit182/lit183/lit184/lit185, core, 3, lec
4, 1, lit200, core, 3, lec
4, 1, , majorelective, 3, lec
4, 1, , majorelective, 3, lec
4, 1, , majorelective, 3, lec
4, 2, , ge(mst), 3, lec
4, 2, , majorelective, 3, lec
4, 2, , majorelective, 3, lec
4, 2, pi100, service, 3, lec
4, 2, lit141, core, 3, lec
4, 2, lit170, core, 3, lec
