year, semester, courseName, type, units, lec/lab
1, 1, , ge(ah), 3, lec
1, 1, , ge(mst), 3, lec
1, 1, , ge(ssp), 3, lec
1, 1, , ge(ssp), 3, lec
1, 1, , ge(ssp), 3, lec
1, 1, math11, service, 3, lec
1, 1, pe1, service, 2, lec
1, 1, , nstp, 3, lec
1, 2, , ge(ssp), 3, lec
1, 2, , ge(ssp), 3, lec
1, 2, , ge(mst), 3, lec
1, 2, , ge(ah), 3, lec
1, 2, econ11, core, 3, lec
1, 2, psych101, core, 3, lec
1, 2, , pe, 2, lec
1, 2, , nstp, 3, lec
2, 1, socio101, core, 3, lec
2, 1, , ge(ah), 3, lec
2, 1, , ge(ah), 3, lec
2, 1, , ge(mst), 3, lec
2, 1, psych110, core, 4, lec
2, 1, psych140, core, 3, lec
2, 1, , pe, 2, lec
2, 2, , ge(ah), 3, lec
2, 2, , majorelective, 3, lec
2, 2, socio114, core, 3, lec
2, 2, psych115, core, 3, lec
2, 2, psych180, core, 3, lec
2, 2, , pe, 2, lec
3, 1, psych118, core, 3, lec
3, 1, psych150, core, 3, lec
3, 1, psych162, core, 4, lec
3, 1, psych162, core, , lab
3, 1, , psychelective, 3, lec
3, 1, , majorelective, 3, lec
3, 1, , majorelective, 3, lec
3, 2, , ge(mst), 3, lec
3, 2, , majorelective, 3, lec
3, 2, , majorelective, 3, lec
3, 2, , psychelective, 3, lec
3, 2, psych155, core, 3, lec
3, 2, cl101, core, 3, lec
4, 1, , psychelective, 3, lec
4, 1, , psychelective, 3, lec
4, 1, , majorelective, 3, lec
4, 1, , majorelective, 3, lec
4, 1, , majorelective, 3, lec
4, 1, psych199.1, core, 3, lec
4, 2, , ge(mst), 3, lec
4, 2, , psychelective, 3, lec
4, 2, , majorelective, 3, lec
4, 2, , majorelective, 3, lec
4, 2, psych199.2, core, 3, lec
4, 2, pi100, core, 3, lec
