year, semester, courseName, type, units, lec/lab,
1, 1, , ge(AH), 3, lec,
1, 1, , ge(SSP), 3, lec,
1, 1, , ge(SSP), 3, lec,
1, 1, , ge(MST), 3, lec,
1, 1, , ge(MST), 3, lec,
1, 1, math11, service, 3, lec,
1, 1, pe1, service, 2, lec,
1, 1, , nstp, 3, lec,
1, 2, , ge(AH), 3, lec,
1, 2, , ge(SSP), 3, lec,
1, 2, , ge(SSP), 3, lec,
1, 2, , ge(MST), 3, lec,
1, 2, math14, service, 3, lec,
1, 2, polsci14, service, 3, lec,
1, 2, , pe, 2, lec,
1, 2, , nstp, 3, lec,
2, 1, , ge(AH), 3, lec,
2, 1, , ge(SSP), 3, lec,
2, 1, math100, service, 4, lec,
2, 1, econ11, service, 3, lec,
2, 1, ba183.1, core, 3, lec,
2, 1, ba99.1, core, 3, lec,
2, 1, , pe, 2, lec,
2, 2, , ge(AH), 3, lec,
2, 2, ba101, core, 3, lec,
2, 2, math101, service, 3, lec,
2, 2, econ101, service, 3, lec,
2, 2, eng11, service, 3, lec,
2, 2, ba99.2, core, 3, lec,
2, 2, ba183.2, core, 3, lec,
2, 2, , pe, 2, lec,
3, 1, , ge(AH), 3, lec,
3, 1, , ge(MST), 3, lec,
3, 1, fil10, service, 3, lec,
3, 1, econ20, service, 3, lec,
3, 1, ba161, core, 3, lec,
3, 1, ba114.1, core, 6, lec,
3, 2, fil11, service, 3, lec,
3, 2, ba170, core, 3, lec,
3, 2, ba114.2, core, 6, lec,
3, 2, ba116, core, 6, lec,
3, 2, ba162, core, 3, lec,
4, 1, ba104, core, 3, lec,
4, 1, econ121, service, 3, lec,
4, 1, ba164, core, 3, lec,
4, 1, ba127, core, 3, lec,
4, 1, ba117, core, 3, lec,
4, 1, ba118.1, core, 6, lec,
4, 2, ba181, core, 3, lec,
4, 2, ba167, core, 3, lec,
4, 2, ba128, core, 3, lec,
4, 2, ba141, core, 3, lec,
4, 2, ba118.2, core, 3, lec,
4, 2, ba120.1, core, 3, lec,
4, midyear, ba196, core, 3, lec,
5, 1, ba184.1, core, 3, lec,
5, 1, ba119, core, 3, lec,
5, 1, ba122, core, 3, lec,
5, 1, ba187, core, 3, lec,
5, 1, ba120.2, core, 6, lec,
5, 1, ba142, core, 3, lec,
5, 2, pi100, service, 3, lec,
5, 2, ba190, core, 3, lec,
5, 2, ba129, core, 3, lec,
5, 2, ba145, core, 3, lec,
5, 2, ba199, core, 3, lec,
5, 2, ba184.2, core, 3, lec
