year, semester, courseName, type, units, lec/lab,
1, 1, , ge(AH), 3, lec,
1, 1, , ge(SSP), 3, lec,
1, 1, , ge(SSP), 3, lec,
1, 1, , ge(MST), 3, lec,
1, 1, , ge(MST), 3, lec,
1, 1, math11, service, 3, lec,
1, 1, pe1, service, 2, lec,
1, 1, , nstp, 3, lec,
1, 2, , ge(AH), 3, lec,
1, 2, , ge(SSP), 3, lec,
1, 2, , ge(SSP), 3, lec,
1, 2, , ge(MST), 3, lec,
1, 2, econ11, service, 3, lec,
1, 2, math14, service, 3, lec,
1, 2, , pe, 2, lec,
1, 2, , nstp, 3, lec,
2, 1, , ge(AH), 3, lec,
2, 1, , ge(SSP), 3, lec,
2, 1, ba99.1, core, 3, lec,
2, 1, math100, service, 4, lec,
2, 1, econ101, service, 3, lec,
2, 1, , pe, 2, lec,
2, 2, , ge(MST), 3, lec,
2, 2, math101, service, 3, lec,
2, 2, ba99.2, core, 3, lec,
2, 2, eng11, service, 3, lec,
2, 2, ba183.1, core, 3, lec,
2, 2, econ102, service, 3, lec,
2, 2, , pe, 2, lec,
3, 1, , ge(AH), 3, lec,
3, 1, ba101, core, 3, lec,
3, 1, ba183.2, core, 3, lec,
3, 1, ba170, core, 3, lec,
3, 1, ba115, core, 3, lec,
3, 1, ba181, core, 3, lec,
3, 2, , ge(AH), 3, lec,
3, 2, ba104, core, 3, lec,
3, 2, ba187, core, 3, lec,
3, 2, ba174, core, 3, lec,
3, 2, ba171, core, 3, lec,
3, 2, ba179, core, 3, lec,
4, 1, ba172, core, 6, lec,
4, 1, ba173, core, 3, lec,
4, 1, ba176, core, 3, lec,
4, 1, ba141, core, 3, lec,
4, 1, , elective, 3, lec,
4, 2, ba175, core, 3, lec,
4, 2, ba178, core, 3, lec,
4, 2, ba190, core, 3, lec,
4, 2, ba142, core, 3, lec,
4, 2, pi100, service, 3, lec,
4, 2, , elective, 3, lec, 
