year, semester, courseName, type, units, lec/lab,
1, 1, , ge(AH), 3, lec,
1, 1, , ge(SSP), 3, lec,
1, 1, , ge(SSP), 3, lec,
1, 1, math17, service, 5, lec,
1, 1, chem16, service, 5, lec,
1, 1, pe1, service, 2, lec,
1, 1, , nstp, 2, lec,
1, 2, , ge(AH), 3, lec,
1, 2, math53, service, 5, lec,
1, 2, chem17, service, 5, lec,
1, 2, physics71, service, 4, lec,
1, 2, physics71, service, 1, lab,
1, 2, , pe, 2, lec,
1, 2, , nstp, 3, lec,
2, 1, , ge(AH), 3, lec,
2, 1, math54, service, 5, lec,
2, 1, chem28, service, 3, lec,
2, 1, chem28, service, 2, lab,
2, 1, physics72, service, 4, lec,
2, 1, physics72, service, 1, lab,
2, 1, , pe, 2, lec,
2, 2, , ge(SSP), 3, lec,
2, 2, math55, service, 3, lec,
2, 2, chem31, service, 3, lec,
2, 2, chem31, service, 2, lab,
2, 2, physics73, service, 4, lec,
2, 2, physics73, service, 1, lab,
2, 2, che31, core, 3, lab,
2, 2, , pe, 2, lec,
3, 1, , ge(MST), 3, lec,
3, 1, , ge(MST), 3, lec,
3, 1, chem153, service, 3, lec,
3, 1, che32, core, 3, lec,
3, 1, es1, core, 2, lec,
3, 1, es11, core, 3, lec,
3, 1, es21, core, 3, lec,
3, 2, , ge(AH), 3, lec,
3, 2, , ge(SSP), 3, lec,
3, 2, che131, core, 3, lec,
3, 2, che132, core, 3, lec,
3, 2, es12, core, 3, lec,
3, 2, es26, core, 3, lec,
4, 1, , ge(AH), 3, lec,
4, 1, , ge(SSP), 3, lec,
4, 1, che122, core, 3, lec,
4, 1, che133, core, 3, lec,
4, 1, che134, core, 3, lec,
4, 1, , elective, 3, lec,
4, 2, che123, core, 3, lec,
4, 2, che135, core, 2, lab,
4, 2, che140, core, 3, lec,
4, 2, ee6, core, 4, lec,
4, 2, es13, core, 3, lec,
4, 2, , elective, 3, lec,
5, 1, che124, core, 2, lab,
5, 1, che125, core, 3, lec,
5, 1, che141, core, 3, lec,
5, 1, che172, core, 3, lec,
5, 1, pi100, service, 3, lec,
5, 1, , elective, 3, lec,
5, 2, , ge(MST), 3, lec,
5, 2, che126, core, 3, lec,
5, 2, che136, core, 2, lab,
5, 2, che142, core, 3, lec,
5, 2, che190, core, 2, lec,
5, 2, , elective4, 3, lec,
