year, semester, courseName, type, units, lec/lab
1, 1, , ge(ssp), 3, lec
1, 1, , ge(ah), 3, lec
1, 1, , ge(mst), 3, lec
1, 1, cmsc11, core, 3, lec
1, 1, cmsc11, core, , lab
1, 1, math17, core, 5, lec
1, 1, pe1, service, 2, lec
1, 1, , nstp, 3, lec
1, 2, , ge(ssp), 3, lec
1, 2, , ge(ah), 3, lec
1, 2, , ge(mst), 3, lec
1, 2, cmsc21, core, 3, lec
1, 2, cmsc21, core, , lab
1, 2, cmsc56, core, 3, lec
1, 2, math100, core, 4, lec
1, 2, , pe, 2, lec
1, 2, , nstp, 3, lec
2, 1, , ge(ssp), 3, lec
2, 1, , ge(ah), 3, lec
2, 1, , ge(mst), 3, lec
2, 1, cmsc22, core, 3, lec
2, 1, cmsc22, core, , lab
2, 1, cmsc57, core, 3, lec
2, 1, physics51, core, 3, lec
2, 1, physics51.1, core, 1, lab
2, 1, , pe, 2, lec
2, 2, , ge(ssp), 3, lec
2, 2, , ge(ah), 3, lec
2, 2, , ge(mst), 3, lec
2, 2, cmsc123, core, 3, lec
2, 2, physics52, core, 3, lec
2, 2, physics52.1, core, 1, lab
2, 2, cmsc130, core, 3, lec
2, 2, cmsc130, core, , lab
2, 2, , pe, 2, lec
3, 1, , ge(ah), 3, lec
3, 1, cmsc127, core, 3, lec
3, 1, cmsc127, core, , lab
3, 1, cmsc131, core, 3, lec
3, 1, cmsc131, core, , lab
3, 1, stat105, core, 3, lec
3, 1, stat105, core, , lab
3, 1, cmsc128, core, 3, lec
3, 1, cmsc128, core, , lab
3, 1, cmsc141, core, 3, lec
3, 2, eng10, service, 3, lec
3, 2, cmsc124, core, 3, lec
3, 2, cmsc124, core, , lab
3, 2, cmsc125, core, 3, lec
3, 2, cmsc125, core, , lab
3, 2, cmsc129, core, 3, lec
3, 2, cmsc129, core, , lab
3, 2, cmsc132, core, 3, lec
3, 2, cmsc126, core, 3, lec
3, 2, cmsc126, core, , lab
3, midyear, cmsc195, core, 3, lec
4, 1, , ge(ssp), 3, lec
4, 1, cmsc137, core, 3, lec
4, 1, cmsc137, core, , lab
4, 1, cmsc142, core, 3, lec
4, 1, cmsc198.1, core, 2, lec
4, 1, cmsc192, core, 1, lec
4, 1, , elective, 3, lec
4, 1, , elective, 3, lec
4, 2, pi100, service, 3, lec
4, 2, cmsc198.2, core, 2, lec
4, 2, , elective, 3, lec
4, 2, , elective, 3, lec
4, 2, , elective, 3, lec
4, 2, , freeelective, 3, lec
