year, semester, courseName, type, units, lec/lab
1, 1, , ge(ssp), 3, lec
1, 1, , ge(ssp), 3, lec
1, 1, , ge(ah), 3, lec
1, 1, , ge(mst), 3, lec
1, 1, math17, service, 5, lec
1, 1, pe1, service, 2, lec
1, 1, , nstp, 3, lec
1, 2, , ge(ah), 3, lec
1, 2, , ge(mst), 3, lec
1, 2, math100, service, 4, lec
1, 2, , ge(ssp), 3, lec
1, 2, , ge(ssp), 3, lec
1, 2, econ11, core, 3, lec
1, 2, , pe, 2, lec
1, 2, , nstp, 3, lec
2, 1, , ge(ah), 3, lec
2, 1, , ge(mst), 3, lec
2, 1, , ge(ah), 3, lec
2, 1, econ101, core, 3, lec
2, 1, econ102, core, 3, lec
2, 1, math101, service, 3, lec
2, 1, , pe, 2, lec
2, 2, , ge(ah), 3, lec
2, 2, , ge(ssp), 3, lec
2, 2, econ115, core, 3, lec
2, 2, econ106, core, 3, lec
2, 2, econ151, core, 3, lec
2, 2, math152, service, 3, lec
2, 2, math152, service, , lab
2, 2, , pe, 2, lec
3, 1, eng10, service, 3, lec
3, 1, econ131, core, 3, lec
3, 1, econ153, core, 3, lec
3, 1, econ171, core, 3, lec
3, 1, , econelective, 3, lec
3, 1, , elective, 3, lec
3, 2, econ109, core, 3, lec
3, 2, econ172, core, 3, lec
3, 2, econ191, core, 3, lec
3, 2, , ge(mst), 3, lec
3, 2, , econelective, 3, lec
3, 2, , elective, 3, lec
4, 1, econ174, core, 3, lec
4, 1, econ196, core, 3, lec
4, 1, econ199.1, core, 3, lec
4, 1, , elective, 3, lec
4, 1, , elective, 3, lec
4, 2, econ199.2, core, 3, lec
4, 2, , elective, 3, lec
4, 2, , elective, 3, lec
4, 2, pi100, core, 3, lec
4, 2, , econelective, 3, lec
