year, semester, courseName, type, units, lec/lab,
1, 1, , ge(AH), 3, lec,
1, 1, , ge(SSP), 3, lec,
1, 1, , ge(MST), 3, lec,
1, 1, math11, service, 3, lec,
1, 1, bio10, service, 5, lec,
1, 1, pe1, service, 2, lec,
1, 1, , nstp, 3, lec,
1, 2, , ge(AH), 3, lec,
1, 2, , ge(SSP), 3, lec,
1, 2, , ge(MST), 3, lec,
1, 2, math14, service, 3, lec,
1, 2, chem11, service, 5, lec,
1, 2, , pe, 2, lec,
1, 2, , nstp, 3, lec,
2, 1, , ge(AH), , 3, lec,
2, 1, , ge(SSP), , 3, lec, 
2, 1, chem23, service, 5, lec,
2, 1, fish101, core, 5, lec,
2, 1, fish137, core, 3, lec,
2, 1, , pe, 2, lec,
2, 2, , ge(AH), 3, lec,
2, 2, math101, service, 3, lec,
2, 2, physics21, service, 4, lec,
2, 2, fish102, core, 4, lec,
2, 2, fish125, core, 5, lec,
2, 2, , pe, 2, lec,
3, 1, , ge(SSP), 3, lec,
3, 1, math100, service, 4, lec,
3, 1, chem31, service, 3, lec,
3, 1, chem31, service, 2, lab,
3, 1, fish148, core, 5, lec,
3, 1, fish154, core, 3, lec,
3, 2, , ge(AH), 3, lec,
3, 2, chem40, service, 3, lec,
3, 2, fish133, core, 5, lec,
3, 2, fish140, core, 3, lec,
3, 2, , elective, 3, lec,
3, 2, , elective, 2-4, lec,
3, midyear, fish197, core, 3, lec,
4, 1, , ge(MST), 3, lec,
4, 1, pi100, service, 3, lec,
4, 1, fish109, core, 3, lec,
4, 1, fish147, core, 3, lec,
4, 1, fish198, core, 3, lec,
4, 1, fish200, core, 3, lec,
4, 1, , elective, 3, lec,
