year, semester, courseName, type, units, lec/lab,
1, 1, , ge(AH), 3, lec,
1, 1, , ge(SSP), 3, lec,
1, 1, , ge(SSP), 3, lec,
1, 1, ft11, core, 1, lec,
1, 1, bio10, service, 5, lec,
1, 1, math11, service, 3, lec,
1, 1, pe1, service, 2, lec,
1, 1, , nstp, 3, lec,
1, 2, , ge(AH), 3, lec,
1, 2, ft15, core, 4, lec,
1, 2, ft14, core, 3, lec,
1, 2, math14, service, 3, lec,
1, 2, chem16, service, 5, lec,
1, 2, , pe, 2, lec,
1, 2, , nstp, 3, lec,
2, 1, , ge(AH), 3, lec,
2, 1, , ge(MST), 3, lec,
2, 1, , ge(SSP), 3, lec,
2, 1, ft100, core, 5, lec,
2, 1, chem17, service, 5, lec,
2, 1, , pe, 2, lec,
2, 2, , ge(AH), 3, lec,
2, 2, , ge(AH), 3, lec,
2, 2, , ge(MST), 3, lec,
2, 2, ft101, core, 3, lec,
2, 2, ft110, core, 3, lec,
2, 2, chem31, service, 3, lec,
2, 2, chem31, service, 2, lab,
2, 2, , pe, 2, lab,
3, 1, , ge(SSP), 3, lec,
3, 1, ft102, core, 3, lec,
3, 1, ft111, core, 3, lec,
3, 1, ft130, core, 3, lec,
3, 1, ft190, core, 3, lec,
3, 1, physics21, service, 4, lec,
3, 1, , elective, 2-3, lec,
3, 2, ft131, core, 5, lec,
3, 2, ft122, core, 3, lec,
3, 2, ft125, core, 3, lec,
3, 2, chem28, service, 3, lec,
3, 2, chem28, service, 2, lab,
3, 2, math100, service, 4, lec,
3, midyear, ft170, core, 6, lec,
4, 1, ft141, core, 5, lec,
4, 1, ft150, core, 4, lec,
4, 1, ft195, core, 3, lec,
4, 1, pi100, service, 3, lec,
4, 1, elective, , 2-3, lec,
4, 2, , ge(SSP), 3, lec,
4, 2, , ge(MST), 3, lec,
4, 2, ft151, core, 4, lec,
4, 2, ft200, core, 3, lec,
4, 2, , elective, 3, lec,
