year, semester, courseName, type, units, lec/lab
1, 1, , ge(ssp), 3, lec
1, 1, , ge(ah), 3, lec
1, 1, , ge(mst), 3, lec
1, 1, , ge(mst), 3, lec
1, 1, math17, service, 5, lec
1, 1, pe1, service, 2, lec
1, 1, , nstp, 3, lec
1, 2, , ge(ssp), 3, lec
1, 2, , ge(ah), 3, lec
1, 2, , ge(ssp), 3, lec
1, 2, , ge(ah), 3, lec
1, 2, , ge(mst), 3, lec
1, 2, chem16, service, 5, lec
1, 2, chem16, service, , lab
1, 2, , pe, 2, lec
1, 2, , nstp, 3, lec
2, 1, , ge(ssp), 3, lec
2, 1, , ge(ah), 3, lec
2, 1, chem17, service, 5, lec
2, 1, chem17, , service, lab
2, 1, physics21, service, 4, lec
2, 1, zoo10, core, 5, lec
2, 1, zoo10, core, , lab
2, 1, , pe, 2, lec
2, 2, ph101, , 3, lec
2, 2, chem28, service, 3, lec
2, 2, chem28.1, service, 2, lab
2, 2, chem31, service, 3, lec
2, 2, chem31.1, service, 2, lab
2, 2, zoo102, core, 3, lec
2, 2, zoo102.1, core, 2, lab
2, 2, , pe, 2, lec
3, 1, ph121, core, 5, lec
3, 1, ph121, core, , lab
3, 1, ph131, core, 3, lec
3, 1, ph131, core, , lab
3, 1, ph141, core, 4, lec
3, 1, ph141, core, , lab
3, 1, ph151, core, 4, lec
3, 1, ph151, core, , lab
3, 1, ph161, core, 4, lec
3, 1, ph161, core, , lab
3, 2, , ge(ah), 3, lec
3, 2, ph122, core, 5, lec
3, 2, ph122, core, , lab
3, 2, ph152, core, 5, lec
3, 2, ph152, core, , lab
3, 2, ph162, core, 3, lec
3, 2, ph162, core, , lab
3, 2, ph172, core, 4, lec
3, 2, ph172, core, , lab
3, midyear, ph175, core, 3, lec
3, midyear, ph175, core, , lab
3, midyear, ph186, core, 3, lec
4, 1, , ge(mst), 3, lec
4, 1, , ge(ssp), 3, lec
4, 1, pi100, service, 3, lec
4, 1, ph166, core, 4, lec
4, 1, ph166, core, , lab
4, 1, ph180, core, 3, lec
4, 1, ph180, core, , lab
4, 1, ph180, core, 5, lec
4, 1, ph180, core, , lab
4, 2, ph147, core, 2, lec
4, 2, ph177, core, , lab
4, 2, ph177, core, 3, lec
4, 2, ph195, core, 5, lec
4, 2, ph196, core, 1, lec
4, 2, ph199, core, 2, lec
